dataset,seed,rare_train_size,rare_class,split_mode,run_dir,status,error,separability,n_train,n_validation,n_train_rare,n_labeled_total,n_labeled_rare,expected_labeled_rare,labeled_mask_source,val_missed,abstain,abstain_reason,chosen_rank,tau,raw_candidates,raw_candidate_true_rare,raw_candidate_nonrare,historical_comparison_available,historical_comparison_match,reconstruction_basis,n_test,true_rare,true_nonrare,baseline_missed_rare,true_rescues,false_rescues,all_rescues,remaining_missed_rare,recovery_rate,rescue_precision,rescue_fdp,incremental_fpr,rescue_ffr
tabula_small_intestine,43,all,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed43_intestinal_tuft_cell_rareall,success,,2.6232210164889778,24282,9715,315,24282,315,315,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
tabula_small_intestine,44,0.01,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed44_intestinal_tuft_cell_rare1pct,success,,2.5892390794116107,24282,9715,315,23972,5,5,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
tabula_small_intestine,44,0.05,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed44_intestinal_tuft_cell_rare5pct,success,,2.1813213226581936,24282,9715,315,23982,15,15,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
tabula_small_intestine,44,0.10,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed44_intestinal_tuft_cell_rare10pct,success,,2.6334700238982136,24282,9715,315,23998,31,31,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
tabula_small_intestine,44,all,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed44_intestinal_tuft_cell_rareall,success,,2.3481522342712147,24282,9715,315,24282,315,315,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
mouse_lung_tms_10x,42,0.01,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare1pct,success,,2.388498718008568,21585,1584,213,21377,5,5,train_predictions.is_labeled_for_scanvi,56.0,False,rescue_applied,1.0,0.04914470349079188,8.0,8.0,0.0,True,True,current_formal_replay,1367,51,1316,51,7,0,7,44,0.13725490196078433,1.0,0.0,0.0,0.0
mouse_lung_tms_10x,42,0.05,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare5pct,success,,1.1875598337377935,21585,1584,213,21382,10,10,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1367,51,1316,51,0,0,0,51,0.0,,,0.0,0.0
mouse_lung_tms_10x,42,0.10,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare10pct,success,,1.3128199203034743,21585,1584,213,21393,21,21,train_predictions.is_labeled_for_scanvi,37.0,False,rescue_applied,1.0,0.1013780916646144,19.0,16.0,3.0,True,True,current_formal_replay,1367,51,1316,37,15,1,16,22,0.40540540540540543,0.9375,0.0625,0.0007598784194528875,0.0007598784194528875
mouse_lung_tms_10x,42,all,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rareall,success,,1.2083994033024412,21585,1584,213,21585,213,213,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1367,51,1316,17,0,0,0,17,0.0,,,0.0,0.0
mouse_lung_tms_10x,43,0.01,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rare1pct,success,,1.0977409329134968,21585,1584,213,21377,5,5,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1367,51,1316,51,0,0,0,51,0.0,,,0.0,0.0
mouse_lung_tms_10x,43,0.05,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rare5pct,success,,1.1049478186428947,21585,1584,213,21382,10,10,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1367,51,1316,51,0,0,0,51,0.0,,,0.0,0.0
mouse_lung_tms_10x,43,0.10,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rare10pct,success,,1.2438605785387364,21585,1584,213,21393,21,21,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1367,51,1316,51,0,0,0,51,0.0,,,0.0,0.0
mouse_lung_tms_10x,43,all,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rareall,success,,1.2406961329842556,21585,1584,213,21585,213,213,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1367,51,1316,14,0,0,0,14,0.0,,,0.0,0.0
mouse_lung_tms_10x,44,0.01,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rare1pct,success,,1.5318534251918745,21585,1584,213,21377,5,5,train_predictions.is_labeled_for_scanvi,56.0,False,rescue_applied,1.0,0.07470159213855895,13.0,12.0,1.0,True,True,current_formal_replay,1367,51,1316,51,11,1,12,40,0.21568627450980393,0.9166666666666666,0.08333333333333333,0.0007598784194528875,0.0007598784194528875
mouse_lung_tms_10x,44,0.05,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rare5pct,success,,1.4965780934401962,21585,1584,213,21382,10,10,train_predictions.is_labeled_for_scanvi,54.0,False,rescue_applied,1.0,0.07752235151801837,22.0,21.0,1.0,True,True,current_formal_replay,1367,51,1316,50,16,1,17,34,0.32,0.9411764705882353,0.058823529411764705,0.0007598784194528875,0.0007598784194528875
mouse_lung_tms_10x,44,0.10,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rare10pct,success,,1.1494793580400469,21585,1584,213,21393,21,21,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1367,51,1316,33,0,0,0,33,0.0,,,0.0,0.0
mouse_lung_tms_10x,44,all,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rareall,success,,1.3019072397755551,21585,1584,213,21585,213,213,train_predictions.is_labeled_for_scanvi,6.0,False,rescue_applied,1.0,0.0963199188884463,3.0,1.0,2.0,True,True,current_formal_replay,1367,51,1316,9,1,2,3,8,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.001519756838905775,0.001519756838905775
mouse_pancreas_tms_10x,42,0.01,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rare1pct,success,,1.4183542774629148,4821,445,174,4652,5,5,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,67,32,0,32,35,0.47761194029850745,1.0,0.0,0.0,0.0
mouse_pancreas_tms_10x,42,0.05,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rare5pct,success,,1.5822705115291735,4821,445,174,4655,8,8,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,12,2,1,3,10,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0011574074074074073,0.0011574074074074073
mouse_pancreas_tms_10x,42,0.10,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rare10pct,success,,1.3580577898238686,4821,445,174,4664,17,17,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,10,2,0,2,8,0.2,1.0,0.0,0.0,0.0
mouse_pancreas_tms_10x,42,all,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rareall,success,,1.3547237368304865,4821,445,174,4821,174,174,train_predictions.is_labeled_for_scanvi,3.0,True,no_feasible_rank,0.0,0.13621799424518755,,,,True,True,current_formal_replay,935,71,864,4,0,0,0,4,0.0,,,0.0,0.0
mouse_pancreas_tms_10x,43,0.01,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed43_pancreatic_d_cell_rare1pct,success,,1.6058894689214913,4821,445,174,4652,5,5,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,44,31,4,35,13,0.7045454545454546,0.8857142857142857,0.11428571428571428,0.004629629629629629,0.004629629629629629
mouse_pancreas_tms_10x,43,0.05,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed43_pancreatic_d_cell_rare5pct,success,,1.6138353343939615,4821,445,174,4655,8,8,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,20,7,3,10,13,0.35,0.7,0.3,0.003472222222222222,0.003472222222222222
mouse_pancreas_tms_10x,43,0.10,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed43_pancreatic_d_cell_rare10pct,success,,1.4506834085291906,4821,445,174,4664,17,17,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,10,2,3,5,8,0.2,0.4,0.6,0.003472222222222222,0.003472222222222222
mouse_pancreas_tms_10x,43,all,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed43_pancreatic_d_cell_rareall,success,,1.3268278354603447,4821,445,174,4821,174,174,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,4,1,4,5,3,0.25,0.2,0.8,0.004629629629629629,0.004629629629629629
mouse_pancreas_tms_10x,44,0.01,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed44_pancreatic_d_cell_rare1pct,success,,2.039264764430705,4821,445,174,4652,5,5,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,32,23,7,30,9,0.71875,0.7666666666666667,0.23333333333333334,0.008101851851851851,0.008101851851851851
mouse_pancreas_tms_10x,44,0.05,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed44_pancreatic_d_cell_rare5pct,success,,1.8392907613264637,4821,445,174,4655,8,8,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,12,6,1,7,6,0.5,0.8571428571428571,0.14285714285714285,0.0011574074074074073,0.0011574074074074073
mouse_pancreas_tms_10x,44,0.10,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed44_pancreatic_d_cell_rare10pct,success,,1.3266252133553051,4821,445,174,4664,17,17,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,10,3,2,5,7,0.3,0.6,0.4,0.0023148148148148147,0.0023148148148148147
mouse_pancreas_tms_10x,44,all,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed44_pancreatic_d_cell_rareall,success,,1.3668491051721539,4821,445,174,4821,174,174,train_predictions.is_labeled_for_scanvi,,,unavailable_historical_decision_metadata,,,,,,True,False,historical_counts_only,935,71,864,4,2,3,5,2,0.5,0.4,0.6,0.003472222222222222,0.003472222222222222
