dataset,seed,rare_train_size,rare_class,split_mode,run_dir,status,error,current_replay_available,historical_cell_identity_available,historical_reconstruction_basis,historical_count_match,separability,n_train,n_validation,n_test,n_train_rare,n_labeled_rare,expected_labeled_rare,closest_competitor_class,scANVI_probability_available,val_missed,abstain,abstain_reason,chosen_rank,tau,current_true_rescues,current_false_rescues,n_baseline_correct_rare,n_true_rescued_rare,n_unrescued_rare,n_non_target,n_closest_competitor
mouse_pancreas_tms_10x,42,0.01,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rare1pct,success,,True,False,historical_counts_only,False,1.4183542774629148,4821,445,935,174,5,5,pancreatic A cell,True,25.0,True,no_feasible_rank,0,0.19507349020541398,0,0,4,0,67,864,110
mouse_pancreas_tms_10x,42,0.05,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rare5pct,success,,True,False,historical_counts_only,False,1.5822705115291735,4821,445,935,174,8,8,pancreatic PP cell,True,6.0,True,no_feasible_rank,0,0.15489243352298754,0,0,59,0,12,864,32
mouse_pancreas_tms_10x,42,0.10,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rare10pct,success,,True,False,historical_counts_only,False,1.3580577898238686,4821,445,935,174,17,17,pancreatic PP cell,True,7.0,True,no_feasible_rank,0,0.1390614228076143,0,0,61,0,10,864,32
mouse_pancreas_tms_10x,42,all,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rareall,success,,True,True,current_formal_replay,True,1.3547237368304865,4821,445,935,174,174,174,pancreatic PP cell,True,3.0,True,no_feasible_rank,0,0.13621799424518755,0,0,67,0,4,864,32
mouse_pancreas_tms_10x,43,0.01,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed43_pancreatic_d_cell_rare1pct,success,,True,False,historical_counts_only,False,1.6058894689214913,4821,445,935,174,5,5,pancreatic PP cell,True,22.0,True,no_feasible_rank,0,0.08520068794413023,0,0,27,0,44,864,32
mouse_pancreas_tms_10x,43,0.05,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed43_pancreatic_d_cell_rare5pct,success,,True,False,historical_counts_only,False,1.6138353343939615,4821,445,935,174,8,8,pancreatic PP cell,True,14.0,True,no_feasible_rank,0,0.07643526315692259,0,0,51,0,20,864,32
mouse_pancreas_tms_10x,43,0.10,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed43_pancreatic_d_cell_rare10pct,success,,True,False,historical_counts_only,False,1.4506834085291906,4821,445,935,174,17,17,pancreatic PP cell,True,7.0,True,no_feasible_rank,0,0.16154852607785986,0,0,61,0,10,864,32
mouse_pancreas_tms_10x,43,all,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed43_pancreatic_d_cell_rareall,success,,True,False,historical_counts_only,False,1.3268278354603447,4821,445,935,174,174,174,pancreatic PP cell,True,4.0,True,no_feasible_rank,0,0.12695769788491382,0,0,67,0,4,864,32
mouse_pancreas_tms_10x,44,0.01,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed44_pancreatic_d_cell_rare1pct,success,,True,False,historical_counts_only,False,2.039264764430705,4821,445,935,174,5,5,pancreatic PP cell,True,16.0,True,no_feasible_rank,0,0.08311674062916484,0,0,39,0,32,864,32
mouse_pancreas_tms_10x,44,0.05,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed44_pancreatic_d_cell_rare5pct,success,,True,False,historical_counts_only,False,1.8392907613264637,4821,445,935,174,8,8,pancreatic PP cell,True,10.0,True,no_feasible_rank,0,0.09851364781546233,0,0,59,0,12,864,32
mouse_pancreas_tms_10x,44,0.10,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed44_pancreatic_d_cell_rare10pct,success,,True,False,historical_counts_only,False,1.3266252133553051,4821,445,935,174,17,17,pancreatic PP cell,True,7.0,True,no_feasible_rank,0,0.1153160195016979,0,0,61,0,10,864,32
mouse_pancreas_tms_10x,44,all,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed44_pancreatic_d_cell_rareall,success,,True,False,historical_counts_only,False,1.3668491051721539,4821,445,935,174,174,174,pancreatic PP cell,True,4.0,True,no_feasible_rank,0,0.12189848629368778,0,0,67,0,4,864,32
